algorithm,n,time

cubic,30,0.15873169898986816

cubic,30,0.13874197006225586

cubic,30,0.13172435760498047

cubic,30,0.13588619232177734

cubic,30,0.13576841354370117

cubic,42,0.12053442001342773

cubic,42,0.13122224807739258

cubic,42,0.14836812019348145

cubic,42,0.16611146926879883

cubic,42,0.16448497772216797

cubic,59,0.17429447174072266

cubic,59,0.13369107246398926

cubic,59,0.13117027282714844

cubic,59,0.13825225830078125

cubic,59,0.13147473335266113

cubic,84,0.13162779808044434

cubic,84,0.12071347236633301

cubic,84,0.12990760803222656

cubic,84,0.1300797462463379

cubic,84,0.13726115226745605

cubic,118,0.15248465538024902

cubic,118,0.1470661163330078

cubic,118,0.14894604682922363

cubic,118,0.14392423629760742

cubic,118,0.14766883850097656

cubic,167,0.14983129501342773

cubic,167,0.13279175758361816

cubic,167,0.14682865142822266

cubic,167,0.16307425498962402

cubic,167,0.1698622703552246

cubic,235,0.1500096321105957

cubic,235,0.15998148918151855

cubic,235,0.15412259101867676

cubic,235,0.15110063552856445

cubic,235,0.14486122131347656

cubic,332,0.14923572540283203

cubic,332,0.13772869110107422

cubic,332,0.14194846153259277

cubic,332,0.14149761199951172

cubic,332,0.13941597938537598

cubic,468,0.1494460105895996

cubic,468,0.14986562728881836

cubic,468,0.1307525634765625

cubic,468,0.16346335411071777

cubic,468,0.14550995826721191

cubic,660,0.15869498252868652

cubic,660,0.1601405143737793

cubic,660,0.16112780570983887

cubic,660,0.15868401527404785

cubic,660,0.16179800033569336

cubic,931,0.18951034545898438

cubic,931,0.1841423511505127

cubic,931,0.21218490600585938

cubic,931,0.1787729263305664

cubic,931,0.20081281661987305

cubic,1313,0.2949519157409668

cubic,1313,0.26533007621765137

cubic,1313,0.2750229835510254

cubic,1313,0.26528000831604004

cubic,1313,0.26491570472717285

cubic,1852,0.4550623893737793

cubic,1852,0.459644079208374

cubic,1852,0.45856571197509766

cubic,1852,0.4593679904937744

cubic,1852,0.47531700134277344

cubic,2611,1.0492908954620361

cubic,2611,0.993793249130249

cubic,2611,1.005882978439331

cubic,2611,1.0152015686035156

cubic,2611,1.0149316787719727

cubic,3682,2.5090866088867188

cubic,3682,2.534874200820923

cubic,3682,2.5109012126922607

cubic,3682,2.540928602218628

cubic,3682,2.497856616973877

cubic,5192,6.709863901138306

cubic,5192,6.800140380859375

cubic,5192,6.922382116317749

cubic,5192,7.077213764190674

cubic,5192,6.793166160583496

cubic,7321,18.415140628814697

cubic,7321,18.334064722061157

cubic,7321,18.320128202438354

cubic,7321,18.297563076019287

cubic,7321,18.389662742614746

quadratic,30,0.13315343856811523

quadratic,30,0.13145208358764648

quadratic,30,0.13849306106567383

quadratic,30,0.16469645500183105

quadratic,30,0.15125060081481934

quadratic,42,0.12374019622802734

quadratic,42,0.14034080505371094

quadratic,42,0.1353468894958496

quadratic,42,0.12940287590026855

quadratic,42,0.13464975357055664

quadratic,59,0.12504887580871582

quadratic,59,0.13030385971069336

quadratic,59,0.12659144401550293

quadratic,59,0.14866352081298828

quadratic,59,0.12987947463989258

quadratic,84,0.12240028381347656

quadratic,84,0.14194869995117188

quadratic,84,0.13088130950927734

quadratic,84,0.12782573699951172

quadratic,84,0.13695883750915527

quadratic,118,0.1298079490661621

quadratic,118,0.14243149757385254

quadratic,118,0.1288471221923828

quadratic,118,0.14270544052124023

quadratic,118,0.1405167579650879

quadratic,167,0.13556742668151855

quadratic,167,0.14004755020141602

quadratic,167,0.12375879287719727

quadratic,167,0.13630318641662598

quadratic,167,0.134779691696167

quadratic,235,0.1267833709716797

quadratic,235,0.13846945762634277

quadratic,235,0.12984013557434082

quadratic,235,0.1374514102935791

quadratic,235,0.13271522521972656

quadratic,332,0.1600513458251953

quadratic,332,0.15078186988830566

quadratic,332,0.1547696590423584

quadratic,332,0.15455365180969238
